,title,genres,developer,publisher,release_date
6469,The Crystal Nebula,"['Action', ' Indie']",Tristan Hodges,Tristan Hodges,2016-07-26
6470,,,,,
6486,Black Hat Cooperative,"['Action', ' Casual', ' Indie', ' Strategy']",Team Future LLC,Team Future LLC,2016-07-29
6513,C O S M,"['Indie', ' Simulation', ' Early Access']",Dynamoid,Dynamoid,2016-08-03
6517,Konrad the Kitten,"['Casual', ' Indie', ' Simulation', ' Early Access']",FusionPlay,FusionPlay,2016-08-05
6518,Abandoned Hospital VR,"['Adventure', ' Indie']",munsunghyun,munsunghyun,2016-08-03
6520,HVR Demo,"['Action', ' Indie', ' Simulation']",Andre Le,Andre Le,2016-08-04
6536,,,,,
6537,,,,,
6538,,,,,
6539,,,,,
6540,,,,,
6541,,,,,
6542,,,,,
6545,,,,,
6547,,,,,
6550,Wake Up,"['Adventure', ' Indie']",Black Cell OG,Black Cell OG,2016-08-09
6557,Meet the Blacks,,,,2016-08-02
6565,,,,,
6566,Empire of Assassins,,,,2011-07-05
6568,The Crow,,,,1998-02-03
6569,Glengarry GlenRoss,,,,2009-09-01
6570,More Than a Game,,,,2010-02-02
6573,LooWarVR,"['Action', ' Casual', ' RPG']",CrystalGame,CrystalGame,2016-08-11
6591,,,,,
6592,,,,,
6595,Meteor Crush VR,"['Action', ' Indie']",XIERRA Games,XIERRA Games,2016-08-17
6607,Professor Layton and the Eternal Diva,,,,2011-11-08
6611,,,,,
6617,,,,,
6618,Grapply,"['Racing', ' Early Access']",Glyphic Productions,Glyphic Productions,
6630,Multiscreens,"['Utilities', ' Early Access']",Phylliida,Phylliida,2016-08-17
6651,CyberThreat,"['Action', ' Indie', ' Early Access']",Enigmatic,"Enigmatic, Leading Role",2016-08-18
6657,Fancy Slingshot VR,"['Action', ' Casual', ' Simulation']",哈视奇科技,哈视奇科技,2016-08-16
6669,,,,,
6671,Draft Day,,,,2014-08-19
6673,Zombie City Defense 2,"['Action', ' Indie', ' Simulation', ' Strategy']",Mozg Labs,Mozg Labs,2016-08-19
6674,Now You See Me 2,,,,2016-08-23
6678,,,,,
6679,Streamer Simulator,"['Casual', ' Indie', ' Simulation', ' Strategy']",,,2016-08-23
6684,Imperium,,,,2016-11-01
6689,The VR Museum of Fine Art,"['Casual', ' Free to Play', ' Indie', ' Simulation']",Finn Sinclair,Finn Sinclair,2016-08-20
6691,,,,,
6692,Duckpocalypse,"['Action', ' Casual', ' Indie']",Capitola VR,Capitola VR,2016-08-22
6696,Paddle Up,"['Indie', ' Sports', ' Early Access']",Pavel Jamal,Pavel Jamal,2016-08-24
6699,Obduction,"['Adventure', ' Indie']",Cyan Inc.,Cyan Inc.,2016-08-24
6723,Tvori,"['Animation & Modeling', ' Design & Illustration', ' Utilities', ' Video Production', ' Early Access']",Tvori,Tvori,2016-08-25
6726,Mount Wingsuit,"['Action', ' Indie', ' Simulation', ' Sports']",Ninja Whale Studios,Ninja Whale Studios,2016-08-25
6732,Quarterback SNAP,"['Action', ' Casual', ' Simulation', ' Sports']",River Studios,River Studios,2016-08-26
6737,,,,,
6738,Evil Robot Traffic Jam HD,"['Action', ' Casual', ' Indie', ' Strategy']","Element Games, LLC","Element Games, LLC",2016-08-26
6740,The Enlightened League of Bone Builders and the Osseous Enigma,"['Adventure', ' Casual', ' Indie', ' Simulation', ' Strategy']",INVIVO Communications,INVIVO Communications,2016-08-24
6748,Frantic Freighter,"['Casual', ' Indie', ' Simulation']",Phr00t's Software,Phr00t's Software,2016-08-29
6750,,,,,
6772,Rail Adventures,"['Indie', ' Early Access']",exosyphen studios,exosyphen studios,
6776,Across Flash,"['Casual', ' Indie', ' Racing']",Uborm,Uborm,2016-08-31
6787,Antboy,,,,2013-01-01
6788,NIGHTSTAR,"['Action', ' Indie']",SOLIDMESH,SOLIDMESH,2017-03-07
6789,EDMtv VR,"['Audio Production', ' Video Production']",Big Beats & Brimstone,EDMtv,2016-08-25
6790,Artstage,"['Animation & Modeling', ' Design & Illustration', ' Early Access']",Soy-software,Soy-software,2016-09-01
6804,Caketomino,"['Casual', ' Indie']",Smoketree Studios,Smoketree Studios,2016-09-02
6807,Kubz VR,"['Casual', ' Indie']",bibimbapstudio,bibimbapstudio,2016-09-05
6819,,,,,
6820,GE Neuro,"['Casual', ' Simulation']",Kite & Lightning,Kite & Lightning,2016-09-05
6835,Ten Little Roosters,,,,2014-11-05
6836,Compadres,,,,2016-09-06
6842,Temple of the Apsara,"['Adventure', ' Indie']",Attraction Studios,Attraction Studios,2016-09-06
6843,,,,,
6858,CloudBound,"['Action', ' Adventure', ' Casual', ' Indie', ' Early Access']",Silicon Storm,Silicon Storm,2016-09-07
6868,Cockroach VR,"['Casual', ' Indie']",TANTANMEN,TANTANMEN,2016-09-08
6878,Final Fleet,"['Action', ' Adventure', ' Indie', ' Early Access']",Team2Bit,Team2Bit,2016-09-08
6882,Mars Odyssey,['Simulation'],Steel Wool Studios,Steel Wool Studios,2016-09-08
6889,Raptor Valley,"['Action', ' Adventure', ' Indie', ' Simulation']",Andrew Stout,Andrew Stout,2016-09-09
6895,Live In Color,"['Casual', ' Indie', ' Early Access']",Atakote Studios,Atakote Studios,2016-09-11
6903,9Grids VR,"['Action', ' Casual', ' Indie']",Klexian,Ignite VR,2016-09-12
6915,We The Voters,,,,2016-09-14
6916,Aleph Null,"['Action', ' Casual', ' Simulation', ' Early Access']",Aleph=Null,Aleph=Null,2016-08-15
6925,VRNinja,"['Action', ' Casual', ' Indie', ' Simulation']",OutOfBounds Software Solutions Inc,OutOfBounds Software Solutions Inc,2016-09-14
6927,Out of Ammo,"['Action', ' Indie', ' Strategy']",RocketWerkz,RocketWerkz,2016-09-14
6928,Found,"['Adventure', ' Casual', ' Free to Play', ' Indie', ' Early Access']",Priyam Parikh,FoundVR,2016-09-14
6950,,,,,
6963,ShowdownVR,['Action'],Frontseat Studio,Frontseat Studio,2016-09-19
6966,Golf Pro VR,"['Sports', ' Early Access']",Marklar,Marklar,2016-09-19
6970,Egg Time,"['Action', ' Casual', ' Free to Play', ' Indie', ' Sports']",Bartoš Studio,Bartoš Studio,2016-09-19
6971,,,,,
6977,,,,,
6991,,,,,
6992,,,,,
6994,Garden of Words,,,,2013-05-31
6995,Grave of the Fireflies,,,,1988-04-16
6996,Children Who Chase Lost Voices,,,,2011-05-07
6997,,,,,
6998,,,,,
6999,,,,,
7000,,,,,
7001,,,,,
7003,,,,,
7006,,,,,
7016,Awesome Obstacle Challenge,"['Action', ' Indie', ' Racing', ' Sports', ' Early Access']",VRoximity LLC,VRoximity LLC,2016-09-22
7018,Colorful the Movie,,,,2010-08-21
7025,Deep Below,"['Adventure', ' Indie']",Confused Studios,Confused Studios,2016-09-23
7030,Dirty 30,,,,2016-09-23
7042,,,,,
7044,City VR,"['Simulation', ' Early Access']","Amber Garage, Inc.","Amber Garage, Inc.",2016-09-26
7047,Howard Lovecraft and the Frozen Kingdom,,,,2016-09-27
7073,,,,,
7075,,,,,
7076,,,,,
7077,,,,,
7078,,,,,
7079,Soundboxing,['Indie'],Maxint LLC,Maxint LLC,2016-09-29
7080,,,,,
7083,,,,,
7085,Sailor Moon Crystal,,,,2014-07-05
7089,,,,,
7092,Soldiers of Heaven VR,"['Action', ' Indie', ' Simulation', ' Early Access']",Filmtyme,"Coqui 3D, Gorilla Productions",2016-09-29
7093,Cmoar VR Cinema,['Simulation'],10Ants Hill,10Ants Hill,2016-09-29
7095,,,,,
7104,Beyond Power VR,"['Action', ' Indie']",Unparalleled Games,Unparalleled Games,2016-09-30
7114,,,,,
7115,,,,,
7116,FILE 9,"['Action', ' Adventure', ' Indie', ' Strategy']","Cypress Inheritance, LLC","Cypress Inheritance, LLC",2016-09-30
7123,,,,,
7125,,,,,
7126,,,,,
7130,,,,,
7133,Fast Action Hero,"['Action', ' Casual', ' Indie', ' Strategy', ' Early Access']",Sirius Sam,RL Agency,2016-10-01
7139,Spectre,"['Indie', ' Simulation', ' Strategy']",Proscenium,Proscenium,2016-10-03
7151,Hat Trick Header,"['Action', ' Casual', ' Sports']",no-pact,no-pact,2016-10-04
7170,Chicken Chase,"['Casual', ' Indie']",Kalan Ray,VKTRY Creative Studios,2016-10-05
7173,,,,,
7174,Anyland,"['Adventure', ' Casual', ' Indie', ' Massively Multiplayer']",Scott Lowe,"Scott Lowe, Philipp Lenssen",2016-10-06
7191,On bike Nurburgring Experience,,,,2004-11-22
7197,Alveari,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG', ' Early Access']",BeehiveBob,BeehiveBob,2016-10-10
7206,Thumper,"['Action', ' Indie']",Drool,Drool,2016-10-10
7208,Senza Peso,"['Adventure', ' Casual']",Kite & Lightning,Kite & Lightning,2016-10-11
7215,The Unwelcomed,"['Casual', ' Indie', ' Simulation', ' Early Access']",The Unwelcomed Studios,The Unwelcomed Studios,2016-10-11
7217,Ballistic Protection,"['Action', ' Indie', ' Strategy']",,,2016-10-12
7243,Battle Disc,,,,2016-10-14
7249,Edmersiv,['Education'],EvoBooks,EvoBooks,2016-10-14
7254,Ship It,"['Action', ' Casual', ' Indie', ' Early Access']",Think On Labs,Think On Labs,2016-10-14
7273,Nerve,,,,2016-10-11
7283,Café Society,,,,2016-10-18
7288,The Rise of Captain Longbeard,"['Action', ' Adventure', ' RPG', ' Early Access']",Colopl NI,Colopl NI,2016-10-19
7292,Destroyer,"['Action', ' Casual', ' Indie', ' Simulation']",CFlat,Degica,2016-10-19
7294,,,,,
7309,,,,,
7314,Boxing Saga,"['Action', ' Sports']",VR PrinceTechnology development Beijing Co. Ltd,VR PrinceTechnology development Beijing Co. Ltd,2016-10-20
7330,Push For Emor,"['Action', ' Indie', ' RPG', ' Early Access']",Lupus Solus Studio,Lupus Solus Studio,2016-10-24
