,title,genres,developer,publisher,release_date
19832,Arcade Saga,"['Action', ' Casual', ' Sports']",2 Bears Studio,Vive Studios,2016-12-08
19838,,,,,
19840,Smashbox Arena,"['Action', ' Indie']","BigBox VR, Inc.","BigBox VR, Inc.",2016-12-21
19842,Remembering Pearl Harbor,['Education'],Deluxe VR,LIFE VR,2016-12-07
19844,Desert Ride Coaster,"['Casual', ' Simulation']",iNFINITE Production,iNFINITE Production,2016-12-07
19846,,,,,
19848,,,,,
19858,,,,,
19874,ZombieCarz,"['Action', ' Indie', ' Racing']",,,2016-12-07
19887,Super Kaiju,['Action'],Directive Games Limited,Directive Games Limited,2016-12-06
19895,,,,,
19898,,,,,
19899,,,,,
19900,,,,,
19902,World of Golf,"['Casual', ' Indie', ' Simulation', ' Sports']",Krazy Studios,Krazy Studios,2016-10-07
19903,World VR Competition,"['Casual', ' Sports']",MT Worlds,MT Worlds,2016-12-06
19904,,,,,
19909,,,,,
19910,,,,,
19911,Dead Hungry,"['Action', ' Casual', ' Indie']",Q-Games Ltd.,Q-Games Ltd.,2016-12-06
19925,DatavizVR Demo,"['Accounting', ' Education', ' Software Training', ' Utilities', ' Early Access']",DatavizVR Inc.,DatavizVR Inc.,2016-12-05
19930,I Hate Santa,"['Action', ' Casual', ' Indie']",VirtualRock VR,VirtualRock VR,2016-12-02
19935,VR Dungeon,"['Adventure', ' Casual', ' Indie', ' Early Access']",Relative Reality Studios,Relative Reality Studios,2016-12-02
19943,Space Junk Patrol,"['Action', ' Indie']",Anthracite Games,Anthracite Games,2016-12-01
19945,Hand Eye Cubination,"['Casual', ' Indie', ' Strategy']",Virtual Vitality,Virtual Vitality,2016-12-01
19958,Irrational Exuberance,"['Adventure', ' Casual', ' Indie']",Buffalo Vision,Buffalo Vision,
19977,,,,,
19978,Abode,['Indie'],Overflow,Overflow,2016-11-01
19982,DreamDesk VR,"['Accounting', ' Animation & Modeling', ' Audio Production', ' Design & Illustration', ' Education', ' Photo Editing', ' Software Training', ' Utilities', ' Video Production', ' Web Publishing']",We AR VR,We AR VR,2016-11-30
19984,Crazy Saloon VR,"['Action', ' Simulation']",Monsieur K,Monsieur K,2016-11-30
19989,Emission VR,"['Action', ' Adventure', ' Indie']",VRSpec Team,VRSpec Team,2016-12-01
20002,GemWars,"['Action', ' Adventure', ' Casual', ' Simulation']","uyi technology Co,Ltd","uyi technology Co,Ltd",2016-11-30
20005,Bounce,['Casual'],Steel Wool Studios,Steel Wool Studios,2016-11-30
20019,,,,,
20029,Drunkn Bar Fight,"['Action', ' Indie', ' Early Access']",The Munky,The Munky,2016-11-28
20035,BladeShield,"['Action', ' Casual']",Rank17,Rank17,2016-11-28
20038,,,,,
20040,,,,,
20041,Cosmic Sugar VR,"['Free to Play', ' Simulation']",David Lobser,David Lobser,2016-11-30
20042,Candy Island,"['Casual', ' Indie']",Fun Rainbow,Fun Rainbow,2016-11-27
20056,ViveSpray,"['Casual', ' Indie', ' Simulation']",ciwolsey,ciwolsey,2016-11-25
20059,Limelight VR,['Education'],Virtual Neuroscience Lab,Virtual Neuroscience Lab,2016-11-25
20063,,,,,
20069,Man Up,,,,2016-02-02
20070,Hours,,,,2014-02-25
20071,Step Up All In,,,,2014-10-21
20072,Pumping Iron,,,,2014-11-11
20073,,,,,
20076,Steel Invaders,"['Action', ' Indie']",,,2016-11-23
20084,Magic Tavern,"['Casual', ' Indie']",Cykyria,Cykyria,2016-11-23
20090,Munch VR,"['Adventure', ' Casual', ' Indie']",Mostly Harmless Games,Mostly Harmless Games,2017-02-17
20091,Sonic Hunter VR,"['Casual', ' Indie']","Viriver Network Technology Co., Ltd.","Viriver Network Technology Co., Ltd.",2016-11-22
20097,Beat Boxer,['Indie'],BeatBoxer LLC,BeatBoxer LLC,2016-11-22
20101,Hot Squat,"['Indie', ' Simulation', ' Sports']",Bean Boy Games,Bean Boy Games,2016-11-22
20103,The Torus Syndicate,"['Action', ' Adventure', ' Indie', ' Early Access']",Codeate,Codeate,2016-11-22
20111,,,,,
20112,,,,,
20115,SourVR Video Player,['Utilities'],"River Twice Co., Ltd.","River Twice Co., Ltd.",2016-11-21
20116,NBA 2KVR Experience,"['Casual', ' Sports']",Specular Interactive,2K,2016-11-21
20130,FIRMA,"['Action', ' Adventure', ' Indie', ' Simulation']",Think Heavy Ltd.,Think Heavy Ltd.,2016-11-18
20135,Shadows of the Cloud Demo,"['Action', ' Adventure', ' RPG']",Davoo Software,NotionTheory,2016-11-18
20142,Princess Kidnapper VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Strategy']",MAGIC ERA,MAGIC ERA,2016-11-15
20145,Final Soccer VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports']",Ivanovich Games,Ivanovich Games,2016-11-18
20152,,,,,
20154,Primitive Road,['Indie'],MoMo Games,MoMo Games,2016-11-18
20162,,,,,
20172,,,,,
20176,Duck Force,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",Andreas Aust,Andreas Aust,2016-11-17
20192,,,,,
20193,Kings of Con,,,,2016-11-16
20200,Horizon Of History,"['Adventure', ' Casual']",Immersion,Immersion,2016-11-16
20205,VR Laser Harp,"['Casual', ' Simulation']",Niki Odolphie,Somerset Online Ltd,2016-11-16
20213,Sailor Moon S Season 3,,,,1994-03-19
20218,Lantern,['Indie'],Storm in a Teacup,1C Company,2016-11-15
20223,Neptune Flux,"['Adventure', ' Indie']",Zoxide Games,Zoxide Games,2016-11-15
20233,Sailor Moon Season 1,,,,1993-02-27
20235,Sailor Moon R Season 2,,,,1993-02-27
20236,Super Island God VR,"['Indie', ' Simulation', ' Strategy', ' Early Access']",Empyrean Interactive,Empyrean Interactive,2016-11-14
20238,Counter Fight,"['Action', ' Casual', ' Indie', ' Simulation']","Tricol Co., Ltd.","Tricol Co., Ltd.",2016-11-14
20239,Qantas VR,['Education'],Start VR,Qantas,2016-11-14
20250,The Martian VR Experience,"['Adventure', ' Casual', ' Simulation']","The Third Floor, Inc",20th Century Fox Film Corporation,2016-11-15
20253,Keep Watching VR,"['Action', ' Indie', ' Early Access']",NinjaDuck Games,NinjaDuck Games,2016-11-14
20270,Pirate Defense,['Strategy'],Rushil Reddy,Rushil Reddy,2016-11-11
20274,Percussive VR,"['Casual', ' Simulation', ' Early Access']",Jamhack Games,Jamhack Games,2016-11-11
20276,Speech Trainer,['Software Training'],Wolf In Motion Ltd,Wolf In Motion Ltd,2016-11-11
20281,Castle Must Be Mine,"['Casual', ' Indie', ' Simulation', ' Strategy', ' Early Access']",TheMiddleGray,TheMiddleGray,2016-11-11
20285,Nightcap,,,,2016-11-11
20291,,,,,
20307,Queendoom,['Action'],EP Games®,EP Games®,2016-11-10
20308,,,,,
20311,Lonelyland VR,,Catbox,Catbox,2016-11-09
20315,The Fastest Fist,"['Action', ' Sports']","Touch Art Technology Co.,Ltd","Touch Art Technology Co.,Ltd",2016-10-30
20323,,,,,
20327,VR Battle Grid,"['Action', ' Casual', ' Free to Play', ' Indie', ' Simulation', ' Strategy']",Fred Sauer,Fred Sauer,2016-11-08
20329,,,,,
20330,HandPass VR,"['Indie', ' Sports']",Constructive Media,Constructive Media,2016-11-24
20331,Con Man,,,,2016-11-08
20332,Hell Or High Water,,,,2016-11-08
20334,Wolf Creek,,,,2016-10-15
20335,Graves,,,,2016-10-16
20346,Lethal VR,"['Action', ' Simulation']",Three Fields Entertainment,Team17 Digital Ltd,2016-11-08
20349,,,,,
20352,,,,,
20358,,,,,
20360,Randyland,,,,2015-10-15
20363,VR Retreat,"['Casual', ' Indie']",VR Retreat,VR Retreat,
20364,Cowbots and Aliens,"['Action', ' Adventure', ' Casual', ' Indie', ' Early Access']",Wizard Games Inc,Wizard Games Inc,2016-11-07
20369,RoboSports VR,"['Sports', ' Early Access']",Babeltime,Babeltime,2016-11-07
20372,,,,,
20375,,,,,
20380,Doritos VR Battle,"['Action', ' Casual', ' Indie']",Capitola VR,Capitola VR,2016-11-04
20385,,,,,
20388,Stifled,"['Action', ' Adventure', ' Indie']",Gattai Games,Gattai Games,
20390,,,,,
20398,MegaRats,"['Action', ' Adventure', ' Indie', ' Simulation']",Red Frizbee Studios,Jam-Live,2016-11-03
20399,,,,,
20400,Fancy Trangram VR,"['Casual', ' Simulation', ' Strategy']",哈视奇科技,哈视奇科技,2016-10-11
20406,,,,,
20407,City Car Driving,"['Indie', ' Racing', ' Simulation']","Forward Development, Ltd.","Forward Global Group, Ltd.",2016-11-03
20411,Cosmic Trip,"['Action', ' Adventure', ' Strategy']",Funktronic Labs,Funktronic Labs,2017-05-24
20443,,,,,
20447,,,,,
20449,VR The Diner Duo,"['Casual', ' Indie', ' Simulation']",Whirlybird Games,Whirlybird Games,2016-11-02
20450,Siege Hammer,"['Action', ' Indie', ' Strategy', ' Early Access']","MyDream Interactive, Inc.","MyDream Interactive, Inc.",2016-11-02
20454,,,,,
20463,ShotForge,"['Indie', ' Simulation']",Alix,Alix,2016-11-02
20485,House of the Dying Sun,"['Action', ' Indie', ' Simulation']","Marauder Interactive, LLC","Marauder Interactive, LLC",2016-11-01
20486,,,,,
20490,Breakroom,"['Utilities', ' Early Access']",MURE VR,Dark Snow Studios,2016-11-01
20529,,,,,
20546,,,,,
20556,Trump Simulator VR,"['Casual', ' Simulation']",Christine Barron,"The Family Collective, LLC",2016-10-27
20564,Guy and Doll,,,,2014-01-21
20570,,,,,
20576,,,,,
20578,The Cardboard Artist,,,,2016-01-11
20606,Panoptic,"['Action', ' Indie', ' Early Access']",Team Panoptes,Team Panoptes,
20609,HUNTER X HUNTER,,,,2011-10-02
20615,Marlene Betwixt,"['Action', ' Adventure', ' Casual', ' Indie']",Uzi Games,Uzi Games,2016-10-25
20641,Island Queen,,,,2012-05-04
20647,Sky Jac,"['Action', ' Adventure', ' Indie', ' Early Access']",Team of Light Media LLC,Team of Light Media LLC,2016-10-24
20650,,,,,
20651,The Vatican Tapes,,,,2015-10-20
20655,Maggie,,,,2015-06-30
20656,Let Hawaii Happen VR,['Simulation'],Framestore VR Studio,Framestore VR Studio,2016-10-22
20657,RuinsCity_VR,"['Action', ' Adventure', ' Casual', ' Strategy']","Beijing Touch the heart interactive technology co., LTD","Beijing Touch the heart interactive technology co., LTD",2016-10-15
20659,Littlstar VR Cinema,['Utilities'],Little Star Media Inc.,Little Star Media Inc.,2016-10-22
20665,,,,,
20670,,,,,
20674,Pumpkin SculptrVR,['Indie'],SculptrVR,SculptrVR,2016-10-21
20680,Chamber 19,"['Action', ' Casual', ' Indie', ' Simulation', ' Strategy']",Deepak M.,"Deepak M., Grant B.",2016-05-23
20688,Fine China,"['Casual', ' Indie', ' Simulation']",Fine China Games,Fine China Games,2017-05-05
20694,,,,,
20698,,,,,
20718,Arcade Artist,"['Design & Illustration', ' Utilities']",Groove Jones LLC,Groove Jones LLC,2016-10-01
20724,Guardian of The Demon Valley,"['Action', ' Adventure', ' Indie', ' Early Access']",Lily Games,Himi Games,2016-10-17
20736,Unruly Ghouls,['Action'],Machete Games LLC,Machete Games LLC,2016-10-19
20739,Starfighter Arduxim,"['Action', ' Indie', ' Simulation']",Fulby Technologies,Fulby Technologies,2016-10-19
20740,,,,,
20749,Dream UniVRse,"['Action', ' Casual', ' Indie', ' Sports']",viVRe,viVRe,
20757,The Stanford Ocean Acidification Experience,['Education'],Jeremy Bailenson,Virtual Human Interaction Lab,2016-10-17
20760,PIRATADO 1,"['Action', ' Adventure', ' Simulation']",Ryabov Eduard,RyabovEduard,2016-10-18
20782,,,,,
20789,True Sight,,,,2016-10-14
20792,,,,,
20794,Cogito,['Indie'],Evan Downing,Evan Downing,2016-10-14
20800,Pipejob,"['Action', ' Indie', ' Simulation']",Cybreath,Cybreath,2016-10-15
20803,DOPAMINE,"['Action', ' Casual', ' Indie']",Synamon Inc.,Synamon Inc.,2016-09-22
20834,Climbey,"['Racing', ' Simulation', ' Early Access']",Brian Lindenhof,ShadowBrain Games,2016-10-25
20842,Lazerbait,"['Indie', ' Strategy']",Taylor Stapleton,Taylor Stapleton,2016-10-14
20846,Heroes of the Seven Seas VR,"['Action', ' Adventure', ' Racing', ' RPG', ' Simulation']",Mirage Interactive,Mirage Interactive,2016-10-14
20847,Crazy Flies,"['Casual', ' RPG', ' Simulation']",Chongqing Yan Wan network technology Co.Ltd.,Chongqing Yan Wan network technology Co.Ltd.,2016-10-14
20855,Allumette,"['Casual', ' Indie']",Penrose Studios,Penrose Studios,2016-10-13
20863,,,,,
20882,,,,,
20883,The Conversation,,,,2010-12-01
20884,Mulholland Drive,,,,2002-04-09
20885,Shatter Quest,"['Action', ' Adventure', ' Casual', ' Indie']",Dream Totems LLC,Dream Totems LLC,2016-10-11
20888,,,,,
20889,The Rabbit Hole,"['Adventure', ' Indie', ' Strategy']",VRMonkey,VRMonkey,2017-05-26
20937,,,,,
20944,Airship Commander,"['Simulation', ' Early Access']",CBL Industries,CBL Industries,2016-10-06
20959,LUMEN,['Utilities'],Framestore Inc.,Time Inc.,2016-09-27
20968,Faceted Flight,"['Action', ' Adventure', ' Casual', ' Indie', ' Racing', ' Simulation', ' Early Access']",The Department of Silly Stuff,The Department of Silly Stuff,2016-10-05
20971,Dimensional Intersection,"['Casual', ' Simulation']",DNV,"Nicalis, Inc.",2016-10-05
20991,Bridge to Nowhere,"['Simulation', ' Early Access']",Peter Labick,Peter Labick,2016-10-04
20992,Out of Print,,,,2016-04-29
21032,,,,,
21049,Basketball Babe,"['Action', ' Casual', ' Sports']",VACTOR,VACTOR,2016-10-02
21052,Guided Meditation VR,"['Casual', ' Indie', ' Early Access']",Cubicle Ninjas,Cubicle Ninjas,2016-10-01
21054,Super VR Trainer,"['Action', ' Casual', ' Indie', ' Sports']",Jorge Moreno Aguilera,David Erosa García,2017-03-13
21067,,,,,
21072,Gaming the Real World,,,,2016-09-30
21091,PitchFork,"['Action', ' Adventure', ' Casual', ' Indie', ' Early Access']",Jacob Velez,Iron Guard Cyber Security,2016-09-29
21101,,,,,
21103,,,,,
21104,Steam Controller Carrying Case,,,,2016-09-29
21105,Steam Controller Battery Door,,,,2016-09-29
21106,,,,,
21107,Steam Controller Wireless Receiver,,,,2016-09-29
21117,Thread Studio,['Design & Illustration'],Shopify,Shopify,2016-09-29
21119,Battlecock,,,,2013-07-09
21135,,,,,
21140,,,,,
21142,Asteroid Blaster VR,"['Action', ' Casual', ' Indie']",Senomix Research,Senomix Research,2016-09-28
21159,,,,,
21169,Virtually Live presents Formula E Season Two Highlights,['Utilities'],Virtually Live,Virtually Live,2016-09-27
21170,,,,,
21173,Little Dead Rotting Hood,,,,2015-01-01
21174,,,,,
21183,Ceggtcher VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports']",Funny Twins,Funny Twins,2016-09-27
21193,DEXED,['Action'],Ninja Theory,Ninja Theory,2016-09-26
21194,Chernobyl VR Project,"['Education', ' Early Access']",The Farm 51 Group SA,The Farm 51 Group SA,2016-09-26
21196,,,,,
21197,BowMage,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",Fusion Labz Corp.,Fusion Labz Corp.,2016-09-26
21199,Extraordinary Tales,,,,2015-10-23
21200,,,,,
21222,,,,,
21223,Sword Master VR,"['Action', ' Indie', ' Simulation', ' Sports']",Master Indie,Master Indie,2016-09-23
21224,Bitslap,['Indie'],Comrex AG,Comrex AG,2016-09-23
21226,What Goes Up,,,,2014-09-12
21228,Top Floor,"['Indie', ' Simulation']",SmartVR Studio,SmartVR Studio,2016-09-23
21234,,,,,
21236,Antboy 3,,,,2015-01-01
21238,Paranormal Island,,,,2013-01-01
21259,,,,,
21260,,,,,
21261,Edge Guardian,"['Action', ' Indie', ' Early Access']",Hypothermic Games,Hypothermic Games,2016-09-21
21265,Come On Down,,,,2016-09-21
21268,Pierhead Arcade,"['Casual', ' Indie', ' Simulation']",Mechabit Ltd,Mechabit Ltd,2016-09-21
21270,,,,,
21271,,,,,
21272,Escape Station,"['Indie', ' Early Access']",Paul Thornton,"Escape Reality UKVR , SoftApps",2016-09-20
21274,Candy Kingdom VR,"['Action', ' Adventure', ' Casual', ' Indie']",Gameplay Studio VR,Gameplay Studio VR,2016-09-20
21279,Francois BOUILLE,"['Education', ' Utilities']",François Bouille - Experience 360,François Bouille - Experience 360,2016-09-20
21296,TwinForce,"['Action', ' Casual', ' Indie', ' Early Access']",ETI,ETI,2016-09-20
21302,Oniris Basket VR,"['Sports', ' Early Access']",Oniris Studios,Oniris Studios,2016-09-17
21303,,,,,
21308,ThrounnelVR,"['Casual', ' Indie']",Sunnyview,Sunnyview,2016-09-15
21328,Planet Smasher,"['Casual', ' Indie', ' Strategy']","Robin, Alice, Julia and George",Team Gilbert,2016-09-15
21356,RollerForce,"['Action', ' Casual', ' Indie', ' Racing']",Headtrip Games llc,Headtrip Games llc,2016-09-14
21360,Fair Islands VR,"['Casual', ' Indie', ' Simulation', ' Early Access']",Lost Bra,Lost Bra,2016-09-14
21361,,,,,
21362,,,,,
21363,,,,,
21366,,,,,
21376,SaberSaw VR,"['Action', ' Casual', ' Indie', ' Early Access']",James Oliver,Destined,2016-09-12
21378,Return Zero VR,"['Action', ' Racing']",Ground Control Studios,Ground Control Studios,2016-09-12
21380,Fly to KUMA MAKER,"['Action', ' Casual']","COLOPL, Inc.","COLOPL, Inc.",2016-09-12
21388,VR Ping Pong,"['Casual', ' Indie', ' Simulation', ' Sports']",Reddoll Srl,"IV Productions, Merge Games",2016-09-13
21402,Behind The Schemes,,,,2016-08-20
21403,,,,,
21412,,,,,
21414,Power Link VR,"['Casual', ' Indie', ' Simulation', ' Sports']",Himi Games,Newsight games,2016-08-30
21434,Block Wave VR,"['Casual', ' Indie', ' Strategy']",RLTY CHK,RLTY CHK,2016-09-09
21441,Launch Squad,"['Action', ' Casual', ' Indie', ' Early Access']",Stand-In VR,Stand-In VR,
21443,,,,,
21449,,,,,
21456,Stars Simulation,"['Action', ' Adventure', ' Indie', ' Simulation', ' Early Access']",Just Amusing Myself Studios,Just Amusing Myself Studios,2016-12-20
21458,RollerGirls From Beyond,"['Action', ' Adventure', ' Indie']",Stonepunk Studios,Stonepunk Studios,2016-09-08
21469,Star Chart,['Simulation'],Escapist Games Ltd,Escape Velocity Limited,2016-09-05
21486,,,,,
21487,,,,,
21488,Final Girl,,,,2014-01-01
21489,Rock Jocks,,,,2012-01-01
21494,The Impossible Travel Agency,['Casual'],Holospark,Holospark,2016-09-02
21498,,,,,
21506,KOTH,"['Action', ' Indie', ' Strategy']",Abbeytek Ltd,Abbeytek Ltd,2016-09-01
21507,The Midnight Man,,,,2015-01-01
21508,,,,,
21509,DragonBlast VR,"['Action', ' Casual', ' Indie', ' Racing', ' Early Access']",VisionWard LLC,VisionWard LLC,2016-09-01
21513,Limberjack,"['Simulation', ' Sports']",DigitasLBi,Husqvarna,2016-09-01
21515,Piñata,"['Casual', ' Free to Play', ' Indie', ' Simulation']",Nexus Interactive Arts,Nexus Interactive Arts,2016-09-01
21523,,,,,
21534,,,,,
21541,,,,,
21544,Locomancer,"['Casual', ' Indie', ' Simulation']",Eric Lipschutz,Eric Lipschutz,2017-02-28
21551,Nebulous,"['Casual', ' Indie']",Namazu Studios,Namazu Studios,2016-08-29
21553,Bloxiq VR,"['Casual', ' Indie', ' Strategy']",Blot Interactive,Red Meat Games,2016-08-29
21554,GravPool,"['Casual', ' Indie', ' Sports']",TinyCrease,TinyCrease,2016-08-29
21559,Stars,"['Casual', ' Indie', ' Simulation']",MatrixStudio,MatrixStudio,2016-08-30
21576,,,,,
21592,Toon Ocean VR,"['Adventure', ' Casual', ' Indie']",Tomilano,Tomilano,2016-08-27
21600,,,,,
21603,Blood Father,,,,2016-08-26
21605,,,,,
21608,,,,,
21610,Naruto Shippuden Uncut,,,,2002-02-15
21616,Puzzling Rooms VR,"['Casual', ' Indie', ' Strategy']",Gordon Roberts,Gordon Roberts,2016-08-25
21637,MineSweeper VR,"['Action', ' Casual', ' Indie', ' Simulation']",Funny Twins,Funny Twins,2016-08-25
21643,,,,,
21646,Relativity,"['Action', ' Adventure', ' Indie']",TomCGames,TomCGames,2016-08-24
21647,,,,,
21649,,,,,
21652,,,,,
21653,Zombie Trigger,"['Adventure', ' Casual', ' Early Access']",Xuebao Games,Xuebao Games,2016-08-01
21654,VR Escape the space station,"['Adventure', ' Indie', ' RPG']",Joygo.Studio,Joygo.Studio,2016-08-24
21660,Genius,,,,2016-08-23
21661,Summer Camp,,,,2016-08-02
21670,Guardian war VR,"['Action', ' Adventure', ' Casual', ' RPG', ' Simulation']",重庆焱玩网络科技有限公司,重庆焱玩网络科技有限公司,2016-08-16
21683,One Giant Leap,"['Action', ' Adventure', ' Racing', ' Early Access']",Sylvan Studios LLC,Sylvan Studios LLC,2016-08-22
21686,Complete Figure Drawing Course HD,,,,2006-01-01
21688,The Journey Home,"['Adventure', ' Free to Play', ' RPG']",Michael Chou,Michael Chou VR Lab,2016-08-19
21691,Birdtual Reality,"['Indie', ' Racing', ' Simulation']",Artificient Games Inc.,Artificient Games Inc.,2016-08-23
21699,,,,,
21708,,,,,
21710,,,,,
21715,Funfair,"['Casual', ' Early Access']",TheStonefox,Sysdia Games,2016-08-20
21717,Redswood VR,"['Adventure', ' Indie', ' Early Access']",Patrick Beavers,B__Vers,2016-08-18
21723,,,,,
21724,,,,,
21728,The Price,,,,2016-07-08
21734,Dig 4 Destruction,"['Action', ' Casual', ' Massively Multiplayer']","COLOPL, Inc.","COLOPL, Inc.",2016-08-14
21738,Space Jones VR,['Indie'],VikingVRStudio,VikingVRStudio,2016-08-11
21746,Houses,,,,2016-07-15
21756,DEADLOCK,['Early Access'],Skunkape Interactive,Digital Tribe,2016-08-15
21764,Kittypocalypse,"['Action', ' Casual', ' Indie', ' Strategy']",Bolvërk Games,Bolvërk Games,2016-08-15
21772,VR Gallery,['Design & Illustration'],HolmCom,HolmCom,2016-08-11
21775,Quanero VR,['Free to Play'],Laserboys3000,Laserboys3000,2016-08-12
21776,,,,,
21782,,,,,
21790,Cogs and Cowboys,"['Action', ' Adventure', ' Early Access']",MostWanted Game Development,MostWanted Game Development,2016-08-10
21791,Worldy Cup,"['Action', ' Indie', ' Sports', ' Early Access']",Tommosaur,Tommosaur,2016-08-10
21793,Thirst VR,"['Action', ' Indie', ' Early Access']",RLTY CHK,RLTY CHK,2016-08-07
21808,,,,,
21809,Fancy Skiing VR,"['Adventure', ' Sports']",哈视奇科技,哈视奇科技,2016-08-06
21813,MSI Electric City,"['Adventure', ' Casual', ' Free to Play', ' Indie', ' Simulation']",Metanaut,MSI,2016-08-09
21818,Armor Clash VR,"['Action', ' Indie', ' Simulation', ' Strategy']",Windforce,Windforce,2016-08-09
21837,,,,,
21847,PolyDome,"['Casual', ' Free to Play', ' Simulation', ' Early Access']",Plan8,Plan8,2016-08-09
21854,Pane In The Glass,"['Action', ' Casual', ' Simulation']",Rewind,Rewind,2016-08-08
21857,The Wire Loop Game VR,['Casual'],MobileFusion Apps Ltd,MobileFusion Apps Ltd,2016-08-08
21859,Endless Labyrinth,['Casual'],Mike Prosser,Mike Prosser,2016-08-08
21861,Tails,"['Casual', ' Indie', ' Early Access']",Dreamcave Studio,Dreamcave Studio,2016-08-08
21862,The Dwarvenaut,,,,2016-08-08
21867,,,,,
21868,Space Ribbon,"['Action', ' Casual', ' Indie', ' Racing', ' Simulation', ' Sports', ' Early Access']",Onteca Ltd,"Applaud Productions, Onteca Ltd",2016-08-05
21870,,,,,
21872,,,,,
21879,,,,,
21881,,,,,
21882,,,,,
21895,,,,,
21901,,,,,
21915,Domino VR,"['Indie', ' Simulation', ' Early Access']",woutwoot,woutwoot,2016-08-03
21918,The Last Sniper VR,"['Action', ' Adventure', ' Simulation']",Robert Weaver,Robert Weaver,2016-08-03
21924,,,,,
21927,,,,,
21934,Ascension VR,"['Indie', ' Strategy']",Temple Gates Games,Temple Gates Games,2016-08-01
21944,,,,,
21945,Going Up,"['Action', ' Early Access']",Conrad Nelson,Conrad Nelson,2016-08-01
21949,VirZOOM Gamepad Emulator,['Utilities'],VirZOOM,VirZOOM,2016-07-15
21958,The Wire,['Casual'],乐客游戏,乐客游戏,2016-08-18
21960,Zombie Camp,"['Action', ' Indie']",Void Dimensions,Void Dimensions,2016-08-01
21963,Branching Paths,,,,2016-07-29
21980,Maze Roller,"['Adventure', ' Casual', ' Indie']",Meerkat Gaming,Meerkat Gaming,2016-08-23
21981,,,,,
21993,Russian VR Coasters,"['Action', ' Casual', ' Indie', ' Simulation']",Funny Twins,Funny Twins,2016-07-27
22013,Broomball VR,['Adventure'],Rushil Reddy,Broomball Inc.,2016-07-28
22018,Pong Champion VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports', ' Early Access']",DegaSolutions,DegaSolutions,2016-07-26
22032,Roomscale Tower,"['Action', ' Adventure', ' Early Access']",DuplicatorStudio,DuplicatorStudio,2016-07-26
22036,Screwball,,,,2016-05-06
22040,The Debt,,,,2016-07-08
22049,Candy Smash VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports']",Wadup Games,Wadup Games,2016-07-26
22050,Book Of Merlin,['Simulation'],乐客游戏,乐客游戏,2016-07-22
22054,,,,,
22055,VRMultigames,"['Action', ' Casual', ' Free to Play', ' Indie', ' Sports']",Mad Triangles,Mad Triangles,2016-07-25
22062,Audio Arena,['Action'],Skydome Studios,Skydome Studios,2016-07-25
22067,MageWorks,"['Casual', ' Early Access']","Earthborn Interactive, LLC","Earthborn Interactive, LLC",2016-07-22
22069,Rogue Fighter,"['Action', ' Indie', ' Early Access']",Zane Gittins,Zane Gittins,2016-07-22
22076,TrumPiñata,['Simulation'],KittyPup Productions,JH Dinsdale LTD,2016-07-22
22081,Always Higher,"['Action', ' Adventure', ' Indie']",AntiAnti,AntiAnti,2016-07-21
22096,The Condemned,,,,2007-08-07
22126,Baskhead,"['Action', ' Casual', ' Sports']",VRLINES,VRLINES,2016-07-19
22127,Simple VR Video Player,"['Utilities', ' Video Production']",simplevr.pro,simplevr.pro,2016-07-19
22132,600 Miles,,,,2016-07-05
22156,VR Disc Golf,"['Casual', ' Indie', ' Sports']",FRS Game Studio,"Front Range Software, LLC",2016-07-18
22172,,,,,
22175,Wildlife VR,"['Casual', ' Indie']",Rocket Science Club,Rocket Science Club,2016-07-10
22191,,,,,
22200,,,,,
22223,VReakout,"['Action', ' Casual', ' Indie']",Animate Objects,Animate Objects,2016-07-13
22231,Gun Range VR,"['Action', ' Casual', ' Indie', ' Simulation']",Jeffrey Cretin,Limited Resources,2016-07-22
22241,Beat Ninja,['Indie'],Xelphyre Games,Xelphyre Games,2016-07-12
22243,,,,,
22249,,,,,
22257,,,,,
22258,The Condemned 2,,,,2016-01-19
22263,House of Alice,"['Adventure', ' Casual', ' Indie', ' Strategy', ' Early Access']",Cuddles and Snowflake,Cuddles and Snowflake,2016-07-11
22273,Cabin Fever,,,,2004-01-20
22275,The Legend of Hercules,,,,2014-04-29
22276,,,,,
22299,,,,,
22302,Vistascapes VR,"['Action', ' Adventure', ' Simulation']",Bird Man Games,Bird Man Games,2016-07-08
22314,DreamLand,['RPG'],SandVUE,SANPACE,2016-07-07
22319,ChessVR,"['Indie', ' Strategy']",games.Sharbit,games.Sharbit,2016-07-07
22340,The Slingshot VR,"['Action', ' Casual', ' Indie', ' Simulation']",Funny Twins,Funny Twins,2016-07-06
22353,Inbound,"['Action', ' Casual']",Gyoza Games LLC,Gyoza Games LLC,2016-07-05
22359,Energy Hook,"['Action', ' Indie', ' Sports']",Happion Labs,Happion Labs,2016-07-05
22371,,,,,
22372,,,,,
22373,,,,,
22375,,,,,
